상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,경도,위도
A,골목상권,3110025,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,127.00497640119038,37.57761277030136
A,골목상권,3110026,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,127.0061875858386,37.57570263623151
A,골목상권,3110027,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673,127.0065278088472,37.58486565414635
A,골목상권,3110028,이화달팽이길,200575,452995,11110,종로구,11110640,이화동,159124,127.00729725032018,37.579252475317645
A,골목상권,3110029,동대문역 1번,200934,452953,11110,종로구,11110680,창신2동,153230,127.0113613839845,37.57887379206997
A,골목상권,3110030,동대문역 3번,201063,452656,11110,종로구,11110670,창신1동,9161,127.0128213611749,37.57619773041554
A,골목상권,3110031,창신역 1번,201298,453314,11110,종로구,11110690,창신3동,32878,127.0154827581686,37.58212593736035
A,골목상권,3110032,수족관거리,201321,452326,11110,종로구,11110670,창신1동,9323,127.01574145447395,37.57322415675275
A,골목상권,3110033,창신역 4번,201471,453118,11110,종로구,11110700,숭인1동,77869,127.01744096358269,37.58035975641778
A,골목상권,3110034,창신1동주민센터,201508,452344,11110,종로구,11110670,창신1동,29604,127.0178583172862,37.5733860605081
A,골목상권,3110057,황학코아루아파트,202013,451863,11140,중구,11140670,황학동,30230,127.02357361755564,37.56905137986789
A,골목상권,3110058,성심여자고등학교,195949,448136,11170,용산구,11170570,원효로2동,135620,126.95495427476396,37.53546433634389
A,골목상권,3110059,새남터성지,196084,447363,11170,용산구,11170640,이촌2동,56970,126.95648588167346,37.52850024849982
A,골목상권,3110036,동묘앞역 3번,201783,452612,11110,종로구,11110710,숭인2동,18431,127.0209719334858,37.57580023445086
A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),198420,450734,11140,중구,11140540,회현동,76242,126.98290589838356,37.55887980788891
A,골목상권,3110041,남산케이블카,198659,450764,11140,중구,11140550,명동,130560,126.98561078606394,37.55915050018265
A,골목상권,3110042,남산골공원옆,199565,450784,11140,중구,11140570,필동,72607,126.99586470233346,37.55933163431991
A,골목상권,3110043,충무초등학교,200090,451226,11140,중구,11140580,장충동,110058,127.0018065789265,37.563314142174654
A,골목상권,3110045,동대문역사문화공원역 5번,200434,451428,11140,중구,11140580,장충동,44820,127.00570022172909,37.56513406602793
A,골목상권,3110047,다산성곽길,200639,450609,11140,중구,11140625,다산동,85386,127.00801991579137,37.55775485860103
A,골목상권,3110048,장충동주민센터,200749,451274,11140,중구,11140580,장충동,135606,127.00926547127456,37.56374636309706
A,골목상권,3110049,장충단 고개,200898,450889,11140,중구,11140625,다산동,70693,127.01095149023902,37.56027743191527
A,골목상권,3110053,청구역 1번,201118,451376,11140,중구,11140615,신당동,85550,127.01344214371956,37.56466502384897
A,골목상권,3110054,청구역 3번,201174,450806,11140,중구,11140645,청구동,69155,127.01407512552326,37.55952931972457
A,골목상권,3110055,황학동벼룩시장,201642,452260,11140,중구,11140670,황학동,27575,127.01937501082683,37.57262901133374
A,골목상권,3110056,신당역 3번,201855,451480,11140,중구,11140650,신당5동,129607,127.02178423319523,37.56560091499595
A,골목상권,3110079,후암동주민센터,198162,450065,11170,용산구,11170510,후암동,293041,126.97998764998432,37.55285168771745
A,골목상권,3110080,해방촌예술마을,198518,449757,11170,용산구,11170510,후암동,134562,126.98401709756348,37.55007730190406
A,골목상권,3110081,해방촌 남동측,198634,449401,11170,용산구,11170520,용산2가동,105010,126.98533049716951,37.546869960241175
A,골목상권,3110050,약수역 7번,200868,450316,11140,중구,11140635,약수동,34553,127.0106113236847,37.555114786531526
A,골목상권,3110051,한양공고앞 교차로,200997,451576,11140,중구,11140615,신당동,44893,127.0120728427882,37.56646713154818
A,골목상권,3110052,장충초등학교,201128,451117,11140,중구,11140625,다산동,68893,127.01355495467408,37.56233145090245
A,골목상권,3110060,효창공원앞역 6번,196339,448750,11170,용산구,11170590,용문동,94719,126.95936370660476,37.54099808835736
A,골목상권,3110061,효창동주민센터,196409,449179,11170,용산구,11170580,효창동,100249,126.96015362524922,37.54486362373903
A,골목상권,3110062,한강로동땡땡거리(은행나무길),196643,447278,11170,용산구,11170625,한강로동,132684,126.96281033849225,37.52773664526882
A,골목상권,3110063,효창공원앞역 5번,196702,448664,11170,용산구,11170590,용문동,110329,126.9634714658214,37.54022462965864
A,골목상권,3110064,효창공원앞역 2번,196816,449203,11170,용산구,11170580,효창동,131550,126.964758984911,37.54508138509793
A,골목상권,3110082,용산구청,199212,448107,11170,용산구,11170650,이태원1동,71140,126.99187261609416,37.53521183355495
A,골목상권,3110083,서빙고역 1번,199271,446786,11170,용산구,11170690,서빙고동,58652,126.9925415791946,37.523309752144506
A,골목상권,3110084,경리단길북측,199236,449136,11170,용산구,11170660,이태원2동,225725,126.99214299593676,37.54448306948713
A,골목상권,3110085,경리단길남측,199260,448806,11170,용산구,11170660,이태원2동,181830,126.99241493147692,37.54150981668068
A,골목상권,3110065,남정초등학교,196844,448550,11170,용산구,11170560,원효로1동,18065,126.965078687114,37.53919800494384
A,골목상권,3110066,서울역 15번,197079,450403,11170,용산구,11170555,청파동,133737,126.96773012727442,37.5558941639597
A,골목상권,3110067,배문고등학교,197116,449954,11170,용산구,11170555,청파동,204936,126.96815067130544,37.551848836514914
A,골목상권,3110068,남영역 1번,197107,449013,11170,용산구,11170560,원효로1동,145312,126.96805261128894,37.5433704797549
A,골목상권,3110069,숙대입구,197161,449524,11170,용산구,11170555,청파동,173542,126.96866162326322,37.5479747183155
A,골목상권,3110070,용산세무서,197188,447141,11170,용산구,11170625,한강로동,8437,126.96897648901508,37.52650414254688
A,골목상권,3110071,한강미주맨션아파트,197152,446831,11170,용산구,11170630,이촌1동,27783,126.96857045402504,37.52371094593415
A,골목상권,3110072,열정도,197247,448836,11170,용산구,11170560,원효로1동,18090,126.9696374485366,37.541776162086805
A,골목상권,3110073,삼각지역 3번,197578,447973,11170,용산구,11170625,한강로동,41421,126.97338569262574,37.53400154572495
A,골목상권,3110074,서울역 12번,197716,450166,11170,용산구,11170530,남영동,105922,126.97494001179024,37.55376065991808
A,골목상권,3110075,숙대입구역 1번,197679,449714,11170,용산구,11170530,남영동,128905,126.97452275206572,37.54968808695515
A,골목상권,3110076,삼각지역 14번,197737,448386,11170,용산구,11170625,한강로동,8989,126.97518331038891,37.53772306221492
A,골목상권,3110077,삼광초등학교,197919,449884,11170,용산구,11170510,후암동,45797,126.97723818443092,37.55122036115963
A,골목상권,3110078,이촌동점보아파트,198068,446532,11170,용산구,11170630,이촌1동,14864,126.97893346739468,37.52101940602285
A,골목상권,3110110,상왕십리역 6번,202454,451618,11200,성동구,11200520,왕십리2동,51942,127.028564630919,37.56684292072168
A,골목상권,3110087,이태원엔틱가구거리,199502,448055,11170,용산구,11170650,이태원1동,52542,126.9951537695452,37.53474353937749
A,골목상권,3110088,오산고등학교,199685,447296,11170,용산구,11170690,서빙고동,96560,126.99722464437868,37.5279050887721
A,골목상권,3110089,서빙고동주민센터,199668,446947,11170,용산구,11170690,서빙고동,105979,126.99703251022451,37.52476061008976
A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,199734,447571,11170,용산구,11170700,보광동,97059,126.99777886172356,37.53038284188383
A,골목상권,3110091,리움미술관,199856,448602,11170,용산구,11170685,한남동,55141,126.99915881079389,37.539672119206415
A,골목상권,3110092,NH농협은행 보광동지점,199990,447728,11170,용산구,11170700,보광동,105153,127.00067509047057,37.53179745860152
A,골목상권,3110093,우사단길,200024,448092,11170,용산구,11170685,한남동,234768,127.00105973518934,37.53507707749865
A,골목상권,3110094,오산중학교,200102,447300,11170,용산구,11170700,보광동,21603,127.00194219956131,37.52794120579578
A,골목상권,3110095,한강진역 3번,200198,448658,11170,용산구,11170685,한남동,149192,127.00302850274102,37.54017668897192
A,골목상권,3110096,한남힐사이드아파트,200260,449313,11170,용산구,11170685,한남동,50068,127.0037302031034,37.546078176371495
A,골목상권,3110098,서울독일학교,200952,448510,11170,용산구,11170685,한남동,41414,127.01155978500915,37.53884280251261
A,골목상권,3110099,유엔빌리지길,201076,448324,11170,용산구,11170685,한남동,263187,127.01296255584106,37.53716682807654
A,골목상권,3110101,옥정중학교,201109,449012,11200,성동구,11200645,옥수동,23818,127.013336912069,37.54336562007981
A,골목상권,3110102,옥수역 6번,201423,449294,11200,성동구,11200645,옥수동,34682,127.01689047462652,37.54590600810939
A,골목상권,3110103,옥수터널,201450,449586,11200,성동구,11200620,금호4가동,19057,127.01719655223,37.54853686303933
A,골목상권,3110104,신금호역 4번,201782,450233,11200,성동구,11200615,금호2?3가동,66838,127.02095504372964,37.55436571496387
A,골목상권,3110108,성동구립금호도서관,202208,450534,11200,성동구,11200590,금호1가동,11778,127.02577699850606,37.55707680323313
A,골목상권,3110109,금호삼성래미안아파트,202316,450083,11200,성동구,11200590,금호1가동,29788,127.02699790386885,37.55301307992156
A,골목상권,3110129,성원어린이공원,204438,450088,11200,성동구,11200660,성수1가2동,70693,127.05101233720308,37.55305050576772
A,골목상권,3110130,답십리역 6번,204631,451780,11200,성동구,11200790,용답동,43065,127.05320702414798,37.56829430529505
A,골목상권,3110131,성수동카페거리,204716,449234,11200,성동구,11200670,성수2가1동,131865,127.0541530183692,37.54535468350074
A,골목상권,3110132,성수2가3동주민센터,204767,449989,11200,성동구,11200690,성수2가3동,76450,127.0547349554028,37.5521569060836
A,골목상권,3110136,경수초등학교,205299,449009,11200,성동구,11200670,성수2가1동,260628,127.06074847483644,37.54332432799806
A,골목상권,3110105,금동어린이공원,202076,449956,11200,성동구,11200615,금호2?3가동,69009,127.02428150597068,37.551869376644696
A,골목상권,3110106,금북초등학교,202140,450763,11200,성동구,11200590,금호1가동,21366,127.02500805689183,37.55914022537765
A,골목상권,3110107,금호사거리,202203,449734,11200,성동구,11200620,금호4가동,22191,127.0257180804004,37.54986889111945
A,골목상권,3110112,행당역 2번,202776,451078,11200,성동구,11200560,행당1동,68591,127.03220734213268,37.56197669039305
A,골목상권,3110113,응봉산,202786,449918,11200,성동구,11200580,응봉동,89115,127.03231622297332,37.55152517792649
A,골목상권,3110114,왕십리파출소,202776,451985,11200,성동구,11200535,왕십리도선동,27058,127.03221069457535,37.57014865592598
A,골목상권,3110133,서울교통공사,205004,451461,11200,성동구,11200790,용답동,80187,127.05742693096649,37.5654182295004
A,골목상권,3110134,성수119안전센터,205062,448509,11200,성동구,11200670,성수2가1동,222826,127.05806332171656,37.538820682492144
A,골목상권,3110135,성동세무서,205254,449984,11200,성동구,11200720,송정동,136762,127.0602461727131,37.55210924420602
A,골목상권,3110115,상왕십리역 3번,202799,451762,11200,성동구,11200535,왕십리도선동,80878,127.0324702109256,37.56813938470569
A,골목상권,3110116,청계천박물관,203093,452318,11200,성동구,11200540,마장동,98083,127.0358003402895,37.57314795727571
A,골목상권,3110117,성동구보건소,203124,451949,11200,성동구,11200540,마장동,49735,127.03614971844534,37.56982321056384
A,골목상권,3110118,왕십리역 9번,203170,450924,11200,성동구,11200560,행당1동,63575,127.03666607265934,37.560587923794365
A,골목상권,3110120,서울숲카페거리,203629,449746,11200,성동구,11200660,성수1가2동,34852,127.0418553222818,37.549972600338805
A,골목상권,3110121,한양대역 4번,203699,450806,11200,성동구,11200550,사근동,29267,127.042652719968,37.55952282238209
A,골목상권,3110122,마장역 2번,203900,452033,11200,성동구,11200540,마장동,80335,127.04493402412662,37.57057713699699
A,골목상권,3110123,마장역 3번,203977,451906,11200,성동구,11200540,마장동,169553,127.04580495039932,37.56943255883951
A,골목상권,3110124,뚝섬역교차로,204001,450061,11200,성동구,11200660,성수1가2동,79596,127.04606671690505,37.55280920769035
A,골목상권,3110125,사근동살곶이상점가,204116,451277,11200,성동구,11200550,사근동,128923,127.04737486687888,37.56376474212389
A,골목상권,3110126,서울숲역 1번,204113,449554,11200,성동구,11200650,성수1가1동,18531,127.04733140722824,37.54824069977906
A,골목상권,3110127,성수1가1동주민센터,204367,449119,11200,성동구,11200650,성수1가1동,38774,127.05020316055248,37.544320237390416
A,골목상권,3110128,성원중학교,204412,448741,11200,성동구,11200650,성수1가1동,247340,127.0507101230355,37.54091427702701
A,골목상권,3110157,자양동우체국,207135,447836,11215,광진구,11215830,자양2동,115158,127.0815122623234,37.5327434439273
A,골목상권,3110158,중곡3동주민센터,207154,452135,11215,광진구,11215760,중곡3동,166799,127.08176874242064,37.57147685326586
A,골목상권,3110159,구의역 4번,207146,448388,11215,광진구,11215820,자양1동,210895,127.08164203469492,37.53771683807181
A,골목상권,3110160,광진경찰서,207370,449364,11215,광진구,11215850,구의1동,47848,127.0841862025957,37.54650876713109
A,골목상권,3110137,성수초등학교,205519,449630,11200,성동구,11200690,성수2가3동,330983,127.06324247672916,37.54891820830819
A,골목상권,3110138,송정체육공원,205936,450143,11200,성동구,11200720,송정동,102074,127.06796545566304,37.553537727675405
A,골목상권,3110139,자양4동주민센터,205610,448404,11215,광진구,11215847,자양4동,155861,127.06426299787182,37.53787150897469
A,골목상권,3110140,건대입구역 6번,205807,448790,11215,광진구,11215847,자양4동,179746,127.06649498781748,37.54134813324022
A,골목상권,3110141,건대입구역 1번,205871,449295,11215,광진구,11215710,화양동,67458,127.06722314733808,37.54589773953971
A,골목상권,3110142,화양사거리,206028,449645,11215,광진구,11215710,화양동,116892,127.06900256937102,37.54905020568125
A,골목상권,3110144,어린이대공원역 4번,206355,449631,11215,광진구,11215710,화양동,42830,127.07270286908197,37.54892189430983
A,골목상권,3110146,신자초등학교,206474,448005,11215,광진구,11215840,자양3동,106885,127.0740353129192,37.5342709504483
A,골목상권,3110147,능동우편취급국,206519,450742,11215,광진구,11215730,군자동,157029,127.07456850315336,37.55893075716209
A,골목상권,3110148,어린이대공원역 3번,206673,449538,11215,광진구,11215710,화양동,45757,127.07630059881014,37.54808174899489
A,골목상권,3110149,세종대학교,206730,450336,11215,광진구,11215730,군자동,45957,127.07695286333896,37.55527123937921
A,골목상권,3110150,중곡1동 마을마당,206780,451324,11215,광진구,11215740,중곡1동,159510,127.07752776538072,37.5641726459094
A,골목상권,3110151,자양한강도서관,206813,447963,11215,광진구,11215830,자양2동,107574,127.07787038448951,37.53389011617257
A,골목상권,3110152,중곡어린이공원,206897,451708,11215,광진구,11215740,중곡1동,50806,127.07885561259664,37.56763157922168
A,골목상권,3110153,중곡1동주민센터,207018,451220,11215,광진구,11215740,중곡1동,50068,127.0802205953196,37.56323385335119
A,골목상권,3110156,군자역 5번,207110,450472,11215,광진구,11215780,능동,153696,127.08125470734092,37.556493759177314
A,골목상권,3110174,아차산역 1번,208044,450658,11215,광진구,11215770,중곡4동,103458,127.09182717097224,37.55816198730638
A,골목상권,3110175,푸른동산공원,208057,449077,11215,광진구,11215870,구의3동,96115,127.09195708780688,37.54391722576162
A,골목상권,3110178,장로회신학대학교,209139,449838,11215,광진구,11215810,광장동,45933,127.10420984636316,37.55076374909611
A,골목상권,3110179,광나루역 1번,209122,449629,11215,광진구,11215810,광장동,42085,127.10401488712095,37.54888084780574
A,골목상권,3110154,광진정말공원,206980,448178,11215,광진구,11215820,자양1동,102102,127.079761842062,37.53582601360711
A,골목상권,3110155,광진구청,207007,448746,11215,광진구,11215820,자양1동,97314,127.0800726954276,37.5409434455613
A,골목상권,3110161,중곡역 3번,207394,452066,11215,광진구,11215760,중곡3동,141901,127.08448477054036,37.57085329444167
A,골목상권,3110162,군자역 4번,207315,450952,11215,광진구,11215750,중곡2동,70945,127.0835795148398,37.56081691611436
A,골목상권,3110143,뚝섬유원지역 1번,206062,448266,11215,광진구,11215840,자양3동,8061,127.06937606118058,37.53662531157398
A,골목상권,3110176,해오름공원,208142,450925,11215,광진구,11215770,중곡4동,135318,127.0929392386616,37.56056677312035
A,골목상권,3110177,동의초등학교,208409,450329,11215,광진구,11215860,구의2동,29079,127.09595436870566,37.555194502292885
A,골목상권,3110163,성자초등학교,207457,447914,11215,광진구,11215830,자양2동,66483,127.08515609091168,37.5334436945693
A,골목상권,3110164,아차산역 5번,207531,450418,11215,광진구,11215780,능동,85050,127.08601877923472,37.55600391145756
A,골목상권,3110165,국립정신건강센터,207575,451405,11215,광진구,11215750,중곡2동,95687,127.08652684330852,37.56489631049702
A,골목상권,3110166,구의1동주민센터,207558,449057,11215,광진구,11215850,구의1동,131620,127.086310455319,37.54374121677591
A,골목상권,3110167,용마초등학교,207600,450940,11215,광진구,11215750,중곡2동,154354,127.08680503403605,37.56070651163963
A,골목상권,3110168,대원고등학교,207751,451529,11215,광진구,11215770,중곡4동,58514,127.08852022671842,37.56601208414964
A,골목상권,3110169,성동초등학교,207787,448123,11215,광진구,11215830,자양2동,75500,127.088891876445,37.53532406573243
A,골목상권,3110170,동대부여고,207834,449143,11215,광진구,11215850,구의1동,120727,127.08943443243676,37.544513785275406
A,골목상권,3110171,중곡4동주민센터,207882,451145,11215,광진구,11215770,중곡4동,47879,127.0899989014804,37.56255118898921
A,골목상권,3110172,광진초등학교,207912,449734,11215,광진구,11215860,구의2동,95499,127.09032336381377,37.54983797843019
A,골목상권,3110173,구남초등학교,208034,448444,11215,광진구,11215870,구의3동,49267,127.09168996327872,37.53821414952771
A,골목상권,3110180,광진정보도서관,209612,449948,11215,광진구,11215810,광장동,74699,127.10956398909984,37.55175006108002
A,골목상권,3110181,신설동역 9번,202420,452524,11230,동대문구,11230536,용신동,141747,127.02818269582656,37.57500595740319
A,골목상권,3110182,용두희망어린이공원,202420,453440,11230,동대문구,11230536,용신동,59118,127.02818563886106,37.58325899376685
A,골목상권,3110183,한국의류시험연구원,202502,453159,11230,동대문구,11230536,용신동,43441,127.02911306344193,37.58072700959215
A,골목상권,3110206,텃골근린공원,204578,453280,11230,동대문구,11230560,전농1동,100623,127.05261634047068,37.58180936953524
A,골목상권,3110207,시립대앞사거리,204615,453829,11230,동대문구,11230560,전농1동,29327,127.05303863442502,37.58675559760032
A,골목상권,3110208,시조사삼거리,204642,454283,11230,동대문구,11230710,회기동,42223,127.05334716385448,37.59084593455529
A,골목상권,3110209,답십리 장령당공원,204595,452273,11230,동대문구,11230600,답십리1동,27972,127.05280257891305,37.57273635170864
A,골목상권,3110184,용두사거리,202616,453006,11230,동대문구,11230536,용신동,24379,127.03040313261646,37.579348191759
A,골목상권,3110185,용두초등학교,202597,452773,11230,동대문구,11230536,용신동,28847,127.03018723147032,37.57724894537447
A,골목상권,3110186,종암초등학교,202689,453592,11230,동대문구,11230545,제기동,22890,127.0312316533702,37.5846277648654
A,골목상권,3110187,제기동역 6번,202876,452949,11230,동대문구,11230536,용신동,159981,127.03334633720164,37.57883387261947
A,골목상권,3110188,용두동신동아아파트,202873,452509,11230,동대문구,11230536,용신동,152517,127.03331068947791,37.57486953979142
A,골목상권,3110189,제기동역 1번,202945,453360,11230,동대문구,11230545,제기동,88499,127.03412908600647,37.58253671279505
A,골목상권,3110190,고대앞사거리,203021,453940,11230,동대문구,11230545,제기동,101416,127.03499184757251,37.58776218801072
A,골목상권,3110195,동대문구청,203596,452957,11230,동대문구,11230536,용신동,115383,127.04149733715936,37.57890347267426
A,골목상권,3110197,세종대왕기념관교차로,203649,454572,11230,동대문구,11230705,청량리동,24771,127.04210523802222,37.59345418045388
A,골목상권,3110198,동대문중앙새마을금고본점,203744,453658,11230,동대문구,11230545,제기동,16140,127.0431763328213,37.58521880466412
A,골목상권,3110199,홍릉시장,203766,453910,11230,동대문구,11230545,제기동,69877,127.04342668401218,37.58748919934074
A,골목상권,3110200,동대문경찰서,203921,453959,11230,동대문구,11230705,청량리동,35357,127.04518186576942,37.58793004594317
A,골목상권,3110201,전농119안전센터,204076,452936,11230,동대문구,11230560,전농1동,24149,127.04693120117904,37.57871230030722
A,골목상권,3110202,전농1동주민센터(전농시장),204193,453064,11230,동대문구,11230560,전농1동,29821,127.04825645093318,37.57986504581183
A,골목상권,3110203,떡전교사거리,204277,453931,11230,동대문구,11230705,청량리동,46180,127.049212392311,37.587676210472566
A,골목상권,3110191,고려대역 6번,203181,454240,11230,동대문구,11230545,제기동,79173,127.03680466461148,37.590464615125626
A,골목상권,3110192,동의보감타워,203304,453083,11230,동대문구,11230536,용신동,33231,127.0381922231754,37.58003978864948
A,골목상권,3110193,고려대역 4번,203326,454482,11230,동대문구,11230545,제기동,67780,127.0384475103346,37.59264449545316
A,골목상권,3110194,홍파초등학교,203549,453894,11230,동대문구,11230545,제기동,87946,127.04096971439756,37.58734588837441
A,골목상권,3110204,간데메공원,204495,452665,11230,동대문구,11230600,답십리1동,122554,127.05167296188436,37.576268706926655
A,골목상권,3110205,경희대삼거리,204533,454605,11230,동대문구,11230710,회기동,88816,127.05211496470709,37.5937476391945
A,골목상권,3110228,장안근린공원,206152,452923,11230,동대문구,11230660,장안2동,177937,127.07043298539509,37.57858379235648
A,골목상권,3110229,장평중학교,206184,451672,11230,동대문구,11230650,장안1동,205648,127.07078480972967,37.56731223418366
A,골목상권,3110230,장안현대홈타운1차아파트,206324,452165,11230,동대문구,11230660,장안2동,79796,127.07237368127112,37.57175316175167
A,골목상권,3110232,동대부고,206490,453086,11230,동대문구,11230660,장안2동,104535,127.07426082266686,37.580050103652944
A,골목상권,3110224,외대앞역 2번,205611,454967,11230,동대문구,11230720,휘경1동,45770,127.0643239372764,37.59700333660679
A,골목상권,3110225,촬영소사거리,205617,452236,11230,동대문구,11230610,답십리2동,54806,127.06437118873616,37.57239739436748
A,골목상권,3110210,서울시립대,204784,454008,11230,동대문구,11230560,전농1동,110970,127.05495320132222,37.58836751002063
A,골목상권,3110211,전곡마을마당공원,204828,453365,11230,동대문구,11230560,전농1동,126403,127.0554471998128,37.58257394842242
A,골목상권,3110212,답십리초등학교,204987,452276,11230,동대문구,11230600,답십리1동,80982,127.05723998187273,37.57276137041946
A,골목상권,3110213,청량초등학교,205004,454831,11230,동대문구,11230740,이문1동,35455,127.05744963844958,37.59578145607873
A,골목상권,3110214,경희대후문,204987,455329,11230,동대문구,11230740,이문1동,79862,127.05726048849084,37.60026844383842
A,골목상권,3110215,회기역 1번,205156,454641,11230,동대문구,11230720,휘경1동,51478,127.05916946608716,37.594068758918326
A,골목상권,3110216,전농중학교,205156,453263,11230,동대문구,11230570,전농2동,65069,127.05915989182492,37.58165318825812
A,골목상권,3110217,자동차부품상가,205207,451743,11230,동대문구,11230610,답십리2동,56649,127.05972661333632,37.56795790545255
A,골목상권,3110218,답십리사거리,205138,452341,11230,동대문구,11230610,답십리2동,82160,127.05894973004052,37.57334619292261
A,골목상권,3110219,삼육보건대학교,205315,454241,11230,동대문구,11230730,휘경2동,179445,127.06096696979256,37.5904639294815
A,골목상권,3110220,외대앞역 1번,205403,455074,11230,동대문구,11230740,이문1동,98625,127.06196942336486,37.59796861842408
A,골목상권,3110221,의릉,205397,456047,11290,성북구,11290810,석관동,47130,127.06190856668243,37.60673521326871
A,골목상권,3110226,장안1동주민센터,205884,452160,11230,동대문구,11230650,장안1동,285861,127.06739297244008,37.57171099646374
A,골목상권,3110227,답십리공원,205920,452959,11230,동대문구,11230610,답십리2동,55458,127.06780686202896,37.57890965127272
A,골목상권,3110254,오거리공원,207331,453019,11260,중랑구,11260570,면목7동,165615,127.0837810821973,37.57944019282918
A,골목상권,3110255,상봉역 4번,207311,454906,11260,중랑구,11260590,상봉2동,191245,127.08357332509236,37.59644192475323
A,골목상권,3110233,중랑역 1번,206528,455158,11260,중랑구,11260610,중화2동,124330,127.0747092959274,37.59871823245663
A,골목상권,3110234,중랑역 4번,206502,454920,11260,중랑구,11260610,중화2동,58421,127.074412785746,37.59657407503186
A,골목상권,3110236,신묵초등학교,206616,456591,11260,중랑구,11260630,묵2동,180650,127.0757186113316,37.611628680248685
A,골목상권,3110237,메가박스 상봉,206601,454652,11260,중랑구,11260520,면목2동,124410,127.07553141687131,37.59415874201176
A,골목상권,3110238,배꽃어린이공원,206668,456017,11260,중랑구,11260610,중화2동,29174,127.07630237205018,37.6064566761885
A,골목상권,3110243,중랑노인종합복지관,206888,454287,11260,중랑구,11260520,면목2동,128302,127.07877774515072,37.590868069023465
A,골목상권,3110244,중화역 4번,206912,455985,11260,중랑구,11260610,중화2동,63066,127.079065362251,37.60616657887029
A,골목상권,3110245,KB국민은행 중화동지점,206956,455282,11260,중랑구,11260610,중화2동,62374,127.0795570422763,37.59983234623624
A,골목상권,3110246,월드순복음교회,206971,454832,11260,중랑구,11260590,상봉2동,87353,127.07972265834884,37.595777810763146
A,골목상권,3110247,먹골역 1번,207001,456738,11260,중랑구,11260620,묵1동,148439,127.08008041472836,37.61295029990436
